Learner ID,Bubble sort,Quick sort,Selection Sort,Merge sort,Insertion sort
Learner25,"['self-assesment', 'videos', 'commentary']","['real life application', 'commentary', 'additional reading material']","['additional reading material', 'quiz', 'commentary']","['real life application', 'exmaple', 'additional reading material']","['quiz', 'exmaple', 'additional reading material']"
Learner26,"['commentary', 'additional reading material', 'real life application']","['exmaple', 'self-assesment', 'commentary']","['videos', 'self-assesment', 'real life application']","['videos', 'real life application', 'quiz']","['commentary', 'self-assesment', 'exmaple']"
Learner27,"['commentary', 'real life application', 'self-assesment']","['real life application', 'commentary', 'additional reading material']","['additional reading material', 'videos', 'real life application']","['exmaple', 'real life application', 'self-assesment']","['quiz', 'commentary', 'self-assesment']"
Learner28,"['commentary', 'real life application', 'exmaple']","['commentary', 'exmaple', 'real life application']","['quiz', 'self-assesment', 'real life application']","['real life application', 'self-assesment', 'quiz']","['additional reading material', 'self-assesment', 'commentary']"
Learner29,"['additional reading material', 'quiz', 'self-assesment']","['videos', 'additional reading material', 'commentary']","['additional reading material', 'self-assesment', 'exmaple']","['self-assesment', 'real life application', 'additional reading material']","['commentary', 'self-assesment', 'additional reading material']"
Learner30,"['videos', 'exmaple', 'real life application']","['exmaple', 'commentary', 'real life application']","['self-assesment', 'exmaple', 'additional reading material']","['additional reading material', 'self-assesment', 'quiz']","['commentary', 'real life application', 'additional reading material']"
Learner31,"['videos', 'commentary', 'additional reading material']","['additional reading material', 'videos', 'exmaple']","['quiz', 'real life application', 'videos']","['real life application', 'videos', 'self-assesment']","['self-assesment', 'real life application', 'exmaple']"
Learner32,"['quiz', 'real life application', 'exmaple']","['self-assesment', 'commentary', 'real life application']","['commentary', 'videos', 'additional reading material']","['exmaple', 'additional reading material', 'commentary']","['additional reading material', 'commentary', 'videos']"
Learner33,"['quiz', 'videos', 'commentary']","['exmaple', 'quiz', 'additional reading material']","['videos', 'exmaple', 'commentary']","['exmaple', 'additional reading material', 'self-assesment']","['real life application', 'exmaple', 'videos']"
Learner34,"['commentary', 'self-assesment', 'additional reading material']","['videos', 'additional reading material', 'self-assesment']","['self-assesment', 'commentary', 'exmaple']","['commentary', 'quiz', 'additional reading material']","['commentary', 'videos', 'additional reading material']"
Learner35,"['self-assesment', 'videos', 'commentary']","['videos', 'real life application', 'additional reading material']","['self-assesment', 'exmaple', 'additional reading material']","['additional reading material', 'self-assesment', 'videos']","['real life application', 'self-assesment', 'exmaple']"
Learner36,"['real life application', 'self-assesment', 'commentary']","['exmaple', 'real life application', 'additional reading material']","['real life application', 'commentary', 'videos']","['additional reading material', 'real life application', 'quiz']","['commentary', 'self-assesment', 'additional reading material']"
Learner37,"['videos', 'self-assesment', 'additional reading material']","['videos', 'real life application', 'exmaple']","['additional reading material', 'commentary', 'self-assesment']","['additional reading material', 'quiz', 'self-assesment']","['self-assesment', 'commentary', 'exmaple']"
Learner38,"['commentary', 'real life application', 'self-assesment']","['real life application', 'additional reading material', 'videos']","['exmaple', 'real life application', 'additional reading material']","['exmaple', 'videos', 'quiz']","['videos', 'commentary', 'quiz']"
Learner39,"['commentary', 'real life application', 'videos']","['commentary', 'real life application', 'quiz']","['videos', 'commentary', 'quiz']","['quiz', 'commentary', 'real life application']","['quiz', 'videos', 'self-assesment']"
Learner40,"['exmaple', 'additional reading material', 'real life application']","['exmaple', 'quiz', 'real life application']","['quiz', 'additional reading material', 'videos']","['commentary', 'additional reading material', 'videos']","['commentary', 'videos', 'additional reading material']"
Learner41,"['videos', 'additional reading material', 'real life application']","['self-assesment', 'exmaple', 'additional reading material']","['quiz', 'exmaple', 'videos']","['videos', 'exmaple', 'commentary']","['self-assesment', 'additional reading material', 'real life application']"
Learner42,"['real life application', 'quiz', 'exmaple']","['quiz', 'commentary', 'videos']","['exmaple', 'additional reading material', 'real life application']","['additional reading material', 'commentary', 'real life application']","['additional reading material', 'videos', 'exmaple']"
Learner43,"['exmaple', 'videos', 'additional reading material']","['commentary', 'real life application', 'exmaple']","['self-assesment', 'exmaple', 'quiz']","['videos', 'real life application', 'quiz']","['additional reading material', 'self-assesment', 'exmaple']"
Learner44,"['videos', 'additional reading material', 'exmaple']","['self-assesment', 'additional reading material', 'exmaple']","['commentary', 'self-assesment', 'quiz']","['additional reading material', 'commentary', 'real life application']","['exmaple', 'commentary', 'self-assesment']"
Learner45,"['quiz', 'additional reading material', 'videos']","['real life application', 'exmaple', 'videos']","['videos', 'exmaple', 'self-assesment']","['exmaple', 'self-assesment', 'real life application']","['additional reading material', 'real life application', 'videos']"
Learner46,"['exmaple', 'videos', 'self-assesment']","['additional reading material', 'exmaple', 'self-assesment']","['commentary', 'additional reading material', 'self-assesment']","['exmaple', 'quiz', 'self-assesment']","['quiz', 'self-assesment', 'videos']"
Learner47,"['real life application', 'exmaple', 'commentary']","['commentary', 'videos', 'real life application']","['videos', 'exmaple', 'real life application']","['real life application', 'quiz', 'videos']","['videos', 'self-assesment', 'additional reading material']"
Learner48,"['additional reading material', 'videos', 'real life application']","['commentary', 'quiz', 'additional reading material']","['exmaple', 'videos', 'self-assesment']","['quiz', 'videos', 'real life application']","['commentary', 'self-assesment', 'videos']"
Learner49,"['commentary', 'self-assesment', 'videos']","['videos', 'additional reading material', 'self-assesment']","['additional reading material', 'quiz', 'real life application']","['self-assesment', 'real life application', 'exmaple']","['videos', 'self-assesment', 'quiz']"
Learner50,"['videos', 'self-assesment', 'exmaple']","['real life application', 'exmaple', 'videos']","['commentary', 'videos', 'exmaple']","['quiz', 'additional reading material', 'real life application']","['real life application', 'additional reading material', 'quiz']"
Learner51,"['videos', 'exmaple', 'quiz']","['quiz', 'videos', 'commentary']","['commentary', 'self-assesment', 'real life application']","['quiz', 'commentary', 'videos']","['exmaple', 'self-assesment', 'commentary']"
Learner52,"['real life application', 'quiz', 'commentary']","['self-assesment', 'real life application', 'additional reading material']","['commentary', 'real life application', 'exmaple']","['real life application', 'self-assesment', 'additional reading material']","['quiz', 'self-assesment', 'videos']"
Learner53,"['commentary', 'exmaple', 'real life application']","['exmaple', 'real life application', 'commentary']","['exmaple', 'commentary', 'self-assesment']","['additional reading material', 'quiz', 'self-assesment']","['commentary', 'videos', 'quiz']"
Learner54,"['commentary', 'additional reading material', 'videos']","['additional reading material', 'self-assesment', 'real life application']","['quiz', 'commentary', 'exmaple']","['additional reading material', 'exmaple', 'self-assesment']","['commentary', 'quiz', 'additional reading material']"
Learner55,"['real life application', 'commentary', 'additional reading material']","['real life application', 'commentary', 'self-assesment']","['commentary', 'additional reading material', 'real life application']","['quiz', 'real life application', 'videos']","['quiz', 'additional reading material', 'videos']"
Learner56,"['videos', 'self-assesment', 'quiz']","['videos', 'quiz', 'additional reading material']","['real life application', 'additional reading material', 'commentary']","['videos', 'exmaple', 'self-assesment']","['commentary', 'videos', 'additional reading material']"
Learner57,"['quiz', 'videos', 'exmaple']","['additional reading material', 'self-assesment', 'quiz']","['exmaple', 'real life application', 'quiz']","['quiz', 'self-assesment', 'real life application']","['videos', 'real life application', 'additional reading material']"
Learner58,"['commentary', 'self-assesment', 'real life application']","['exmaple', 'quiz', 'self-assesment']","['commentary', 'self-assesment', 'exmaple']","['commentary', 'additional reading material', 'videos']","['self-assesment', 'real life application', 'videos']"
Learner59,"['exmaple', 'additional reading material', 'quiz']","['exmaple', 'videos', 'quiz']","['commentary', 'real life application', 'additional reading material']","['quiz', 'exmaple', 'videos']","['exmaple', 'videos', 'additional reading material']"
Learner60,"['exmaple', 'quiz', 'videos']","['exmaple', 'additional reading material', 'videos']","['commentary', 'videos', 'real life application']","['exmaple', 'additional reading material', 'videos']","['additional reading material', 'exmaple', 'self-assesment']"
Learner61,"['exmaple', 'videos', 'commentary']","['quiz', 'exmaple', 'self-assesment']","['quiz', 'videos', 'additional reading material']","['self-assesment', 'commentary', 'real life application']","['videos', 'exmaple', 'self-assesment']"
Learner62,"['commentary', 'self-assesment', 'videos']","['self-assesment', 'exmaple', 'additional reading material']","['videos', 'exmaple', 'self-assesment']","['self-assesment', 'videos', 'additional reading material']","['self-assesment', 'additional reading material', 'commentary']"
Learner63,"['quiz', 'commentary', 'exmaple']","['additional reading material', 'exmaple', 'videos']","['exmaple', 'additional reading material', 'quiz']","['quiz', 'real life application', 'exmaple']","['real life application', 'videos', 'quiz']"
Learner64,"['self-assesment', 'quiz', 'commentary']","['commentary', 'self-assesment', 'real life application']","['self-assesment', 'additional reading material', 'videos']","['real life application', 'self-assesment', 'additional reading material']","['commentary', 'quiz', 'exmaple']"
Learner65,"['commentary', 'exmaple', 'real life application']","['real life application', 'additional reading material', 'exmaple']","['additional reading material', 'self-assesment', 'quiz']","['self-assesment', 'additional reading material', 'commentary']","['additional reading material', 'real life application', 'commentary']"
Learner66,"['quiz', 'self-assesment', 'commentary']","['videos', 'real life application', 'additional reading material']","['videos', 'exmaple', 'additional reading material']","['real life application', 'commentary', 'videos']","['videos', 'exmaple', 'real life application']"
Learner67,"['additional reading material', 'quiz', 'commentary']","['videos', 'quiz', 'real life application']","['exmaple', 'additional reading material', 'real life application']","['videos', 'exmaple', 'quiz']","['self-assesment', 'real life application', 'additional reading material']"
Learner68,"['additional reading material', 'self-assesment', 'quiz']","['real life application', 'videos', 'quiz']","['self-assesment', 'commentary', 'real life application']","['additional reading material', 'real life application', 'quiz']","['exmaple', 'quiz', 'videos']"
Learner69,"['real life application', 'additional reading material', 'self-assesment']","['commentary', 'real life application', 'videos']","['quiz', 'self-assesment', 'videos']","['real life application', 'quiz', 'exmaple']","['videos', 'additional reading material', 'real life application']"
Learner70,"['additional reading material', 'exmaple', 'videos']","['self-assesment', 'commentary', 'videos']","['exmaple', 'commentary', 'self-assesment']","['additional reading material', 'exmaple', 'quiz']","['self-assesment', 'additional reading material', 'real life application']"
Learner71,"['commentary', 'quiz', 'real life application']","['real life application', 'exmaple', 'self-assesment']","['additional reading material', 'quiz', 'exmaple']","['commentary', 'videos', 'real life application']","['self-assesment', 'exmaple', 'videos']"
Learner72,"['exmaple', 'additional reading material', 'quiz']","['real life application', 'quiz', 'additional reading material']","['quiz', 'real life application', 'videos']","['self-assesment', 'real life application', 'quiz']","['self-assesment', 'quiz', 'commentary']"
Learner73,"['commentary', 'real life application', 'additional reading material']","['videos', 'commentary', 'quiz']","['real life application', 'exmaple', 'commentary']","['exmaple', 'real life application', 'self-assesment']","['commentary', 'exmaple', 'self-assesment']"
Learner74,"['exmaple', 'videos', 'quiz']","['self-assesment', 'videos', 'additional reading material']","['quiz', 'videos', 'additional reading material']","['exmaple', 'quiz', 'real life application']","['additional reading material', 'videos', 'self-assesment']"
Learner75,"['additional reading material', 'quiz', 'videos']","['quiz', 'commentary', 'additional reading material']","['self-assesment', 'quiz', 'commentary']","['self-assesment', 'exmaple', 'commentary']","['real life application', 'videos', 'additional reading material']"
Learner76,"['commentary', 'exmaple', 'additional reading material']","['self-assesment', 'videos', 'real life application']","['additional reading material', 'commentary', 'exmaple']","['additional reading material', 'videos', 'quiz']","['real life application', 'exmaple', 'additional reading material']"
Learner77,"['additional reading material', 'commentary', 'videos']","['quiz', 'additional reading material', 'real life application']","['exmaple', 'real life application', 'self-assesment']","['additional reading material', 'quiz', 'exmaple']","['videos', 'self-assesment', 'real life application']"
Learner78,"['exmaple', 'real life application', 'videos']","['self-assesment', 'commentary', 'real life application']","['quiz', 'self-assesment', 'additional reading material']","['quiz', 'commentary', 'additional reading material']","['videos', 'quiz', 'real life application']"
Learner79,"['exmaple', 'commentary', 'self-assesment']","['additional reading material', 'videos', 'exmaple']","['self-assesment', 'additional reading material', 'exmaple']","['self-assesment', 'videos', 'quiz']","['exmaple', 'quiz', 'self-assesment']"
Learner80,"['exmaple', 'quiz', 'commentary']","['additional reading material', 'real life application', 'commentary']","['quiz', 'real life application', 'self-assesment']","['quiz', 'videos', 'real life application']","['real life application', 'videos', 'commentary']"
Learner81,"['self-assesment', 'videos', 'exmaple']","['videos', 'real life application', 'exmaple']","['exmaple', 'quiz', 'videos']","['real life application', 'self-assesment', 'quiz']","['quiz', 'exmaple', 'additional reading material']"
Learner82,"['quiz', 'videos', 'real life application']","['videos', 'exmaple', 'self-assesment']","['quiz', 'additional reading material', 'commentary']","['additional reading material', 'commentary', 'self-assesment']","['commentary', 'real life application', 'exmaple']"
Learner83,"['exmaple', 'videos', 'additional reading material']","['additional reading material', 'commentary', 'self-assesment']","['real life application', 'self-assesment', 'commentary']","['quiz', 'self-assesment', 'exmaple']","['commentary', 'real life application', 'videos']"
Learner84,"['commentary', 'additional reading material', 'videos']","['additional reading material', 'commentary', 'real life application']","['real life application', 'self-assesment', 'exmaple']","['self-assesment', 'real life application', 'quiz']","['real life application', 'additional reading material', 'commentary']"
Learner85,"['self-assesment', 'real life application', 'exmaple']","['real life application', 'additional reading material', 'self-assesment']","['exmaple', 'videos', 'quiz']","['additional reading material', 'real life application', 'self-assesment']","['quiz', 'self-assesment', 'commentary']"
Learner86,"['commentary', 'videos', 'exmaple']","['real life application', 'exmaple', 'videos']","['self-assesment', 'videos', 'quiz']","['self-assesment', 'exmaple', 'commentary']","['exmaple', 'quiz', 'self-assesment']"
Learner87,"['additional reading material', 'exmaple', 'quiz']","['real life application', 'commentary', 'quiz']","['self-assesment', 'additional reading material', 'exmaple']","['videos', 'commentary', 'self-assesment']","['videos', 'quiz', 'commentary']"
Learner88,"['videos', 'additional reading material', 'commentary']","['exmaple', 'additional reading material', 'real life application']","['videos', 'additional reading material', 'self-assesment']","['additional reading material', 'commentary', 'real life application']","['commentary', 'self-assesment', 'real life application']"
Learner89,"['additional reading material', 'commentary', 'self-assesment']","['quiz', 'commentary', 'real life application']","['commentary', 'quiz', 'exmaple']","['quiz', 'videos', 'exmaple']","['real life application', 'quiz', 'additional reading material']"
Learner90,"['real life application', 'videos', 'quiz']","['self-assesment', 'quiz', 'real life application']","['additional reading material', 'real life application', 'self-assesment']","['commentary', 'quiz', 'exmaple']","['commentary', 'self-assesment', 'real life application']"
Learner91,"['real life application', 'quiz', 'commentary']","['real life application', 'self-assesment', 'videos']","['videos', 'exmaple', 'additional reading material']","['self-assesment', 'real life application', 'quiz']","['self-assesment', 'quiz', 'additional reading material']"
Learner92,"['commentary', 'videos', 'quiz']","['real life application', 'exmaple', 'quiz']","['additional reading material', 'self-assesment', 'commentary']","['real life application', 'exmaple', 'commentary']","['additional reading material', 'commentary', 'real life application']"
Learner93,"['self-assesment', 'additional reading material', 'exmaple']","['additional reading material', 'quiz', 'real life application']","['real life application', 'commentary', 'videos']","['quiz', 'additional reading material', 'commentary']","['additional reading material', 'self-assesment', 'commentary']"
Learner94,"['self-assesment', 'videos', 'real life application']","['exmaple', 'self-assesment', 'quiz']","['videos', 'commentary', 'additional reading material']","['exmaple', 'self-assesment', 'quiz']","['real life application', 'additional reading material', 'quiz']"
Learner95,"['videos', 'additional reading material', 'real life application']","['commentary', 'quiz', 'real life application']","['commentary', 'videos', 'self-assesment']","['real life application', 'additional reading material', 'quiz']","['quiz', 'self-assesment', 'commentary']"
Learner96,"['videos', 'commentary', 'exmaple']","['exmaple', 'additional reading material', 'quiz']","['additional reading material', 'videos', 'self-assesment']","['additional reading material', 'real life application', 'exmaple']","['real life application', 'commentary', 'self-assesment']"
Learner97,"['additional reading material', 'self-assesment', 'commentary']","['quiz', 'exmaple', 'real life application']","['videos', 'exmaple', 'self-assesment']","['exmaple', 'real life application', 'additional reading material']","['videos', 'exmaple', 'quiz']"
Learner98,"['real life application', 'exmaple', 'quiz']","['self-assesment', 'videos', 'real life application']","['quiz', 'additional reading material', 'videos']","['quiz', 'additional reading material', 'exmaple']","['real life application', 'additional reading material', 'videos']"
Learner99,"['self-assesment', 'real life application', 'commentary']","['real life application', 'exmaple', 'commentary']","['self-assesment', 'quiz', 'commentary']","['self-assesment', 'additional reading material', 'videos']","['exmaple', 'videos', 'additional reading material']"
Learner100,"['real life application', 'quiz', 'self-assesment']","['commentary', 'real life application', 'videos']","['quiz', 'videos', 'exmaple']","['quiz', 'self-assesment', 'videos']","['quiz', 'commentary', 'additional reading material']"
Learner101,"['videos', 'additional reading material', 'commentary']","['quiz', 'videos', 'additional reading material']","['quiz', 'additional reading material', 'self-assesment']","['additional reading material', 'exmaple', 'real life application']","['videos', 'commentary', 'quiz']"
Learner102,"['exmaple', 'real life application', 'commentary']","['exmaple', 'quiz', 'additional reading material']","['videos', 'quiz', 'additional reading material']","['self-assesment', 'quiz', 'additional reading material']","['real life application', 'self-assesment', 'videos']"
Learner103,"['additional reading material', 'real life application', 'commentary']","['additional reading material', 'quiz', 'self-assesment']","['quiz', 'commentary', 'videos']","['quiz', 'commentary', 'real life application']","['quiz', 'exmaple', 'self-assesment']"
Learner104,"['self-assesment', 'additional reading material', 'quiz']","['commentary', 'videos', 'self-assesment']","['exmaple', 'additional reading material', 'self-assesment']","['additional reading material', 'self-assesment', 'commentary']","['self-assesment', 'additional reading material', 'quiz']"
Learner105,"['self-assesment', 'exmaple', 'commentary']","['additional reading material', 'quiz', 'exmaple']","['exmaple', 'real life application', 'videos']","['real life application', 'self-assesment', 'quiz']","['real life application', 'exmaple', 'quiz']"
Learner106,"['videos', 'commentary', 'exmaple']","['commentary', 'self-assesment', 'real life application']","['real life application', 'videos', 'additional reading material']","['self-assesment', 'additional reading material', 'exmaple']","['additional reading material', 'real life application', 'videos']"
Learner107,"['quiz', 'self-assesment', 'commentary']","['additional reading material', 'quiz', 'videos']","['quiz', 'real life application', 'exmaple']","['real life application', 'self-assesment', 'quiz']","['additional reading material', 'exmaple', 'videos']"
Learner108,"['exmaple', 'quiz', 'videos']","['videos', 'additional reading material', 'self-assesment']","['quiz', 'self-assesment', 'videos']","['videos', 'additional reading material', 'self-assesment']","['additional reading material', 'commentary', 'self-assesment']"
Learner109,"['real life application', 'self-assesment', 'additional reading material']","['quiz', 'commentary', 'exmaple']","['videos', 'commentary', 'real life application']","['self-assesment', 'commentary', 'real life application']","['videos', 'additional reading material', 'self-assesment']"
Learner110,"['exmaple', 'quiz', 'additional reading material']","['additional reading material', 'exmaple', 'videos']","['quiz', 'commentary', 'self-assesment']","['exmaple', 'commentary', 'quiz']","['videos', 'exmaple', 'self-assesment']"
Learner111,"['videos', 'additional reading material', 'exmaple']","['additional reading material', 'quiz', 'self-assesment']","['quiz', 'real life application', 'commentary']","['exmaple', 'additional reading material', 'commentary']","['videos', 'exmaple', 'real life application']"
Learner112,"['additional reading material', 'real life application', 'self-assesment']","['exmaple', 'commentary', 'self-assesment']","['videos', 'quiz', 'commentary']","['self-assesment', 'quiz', 'exmaple']","['real life application', 'quiz', 'additional reading material']"
Learner113,"['self-assesment', 'commentary', 'videos']","['videos', 'exmaple', 'commentary']","['quiz', 'exmaple', 'additional reading material']","['quiz', 'self-assesment', 'additional reading material']","['videos', 'additional reading material', 'exmaple']"
Learner114,"['commentary', 'videos', 'exmaple']","['additional reading material', 'commentary', 'videos']","['self-assesment', 'additional reading material', 'videos']","['additional reading material', 'exmaple', 'self-assesment']","['additional reading material', 'real life application', 'exmaple']"
Learner115,"['videos', 'exmaple', 'self-assesment']","['quiz', 'real life application', 'videos']","['additional reading material', 'exmaple', 'self-assesment']","['additional reading material', 'quiz', 'videos']","['quiz', 'self-assesment', 'additional reading material']"
Learner116,"['self-assesment', 'quiz', 'real life application']","['exmaple', 'quiz', 'videos']","['real life application', 'quiz', 'self-assesment']","['quiz', 'commentary', 'additional reading material']","['exmaple', 'real life application', 'self-assesment']"
Learner117,"['self-assesment', 'additional reading material', 'exmaple']","['real life application', 'additional reading material', 'commentary']","['self-assesment', 'exmaple', 'videos']","['quiz', 'self-assesment', 'additional reading material']","['commentary', 'real life application', 'additional reading material']"
Learner118,"['self-assesment', 'additional reading material', 'quiz']","['real life application', 'videos', 'commentary']","['commentary', 'videos', 'exmaple']","['self-assesment', 'quiz', 'exmaple']","['exmaple', 'quiz', 'videos']"
Learner119,"['self-assesment', 'videos', 'quiz']","['additional reading material', 'self-assesment', 'real life application']","['exmaple', 'real life application', 'additional reading material']","['commentary', 'quiz', 'additional reading material']","['real life application', 'commentary', 'additional reading material']"
Learner120,"['real life application', 'exmaple', 'quiz']","['quiz', 'self-assesment', 'commentary']","['real life application', 'commentary', 'videos']","['quiz', 'real life application', 'commentary']","['additional reading material', 'commentary', 'real life application']"
Learner121,"['commentary', 'videos', 'real life application']","['commentary', 'quiz', 'additional reading material']","['quiz', 'additional reading material', 'real life application']","['videos', 'exmaple', 'real life application']","['quiz', 'videos', 'real life application']"
Learner122,"['quiz', 'commentary', 'self-assesment']","['self-assesment', 'videos', 'additional reading material']","['exmaple', 'self-assesment', 'videos']","['real life application', 'additional reading material', 'self-assesment']","['videos', 'real life application', 'quiz']"
Learner123,"['quiz', 'real life application', 'videos']","['real life application', 'videos', 'quiz']","['additional reading material', 'exmaple', 'commentary']","['real life application', 'videos', 'quiz']","['real life application', 'exmaple', 'quiz']"
Learner124,"['exmaple', 'quiz', 'videos']","['videos', 'quiz', 'self-assesment']","['self-assesment', 'quiz', 'exmaple']","['commentary', 'exmaple', 'videos']","['videos', 'self-assesment', 'exmaple']"
Learner125,"['additional reading material', 'self-assesment', 'real life application']","['real life application', 'additional reading material', 'commentary']","['commentary', 'additional reading material', 'exmaple']","['videos', 'exmaple', 'real life application']","['self-assesment', 'quiz', 'real life application']"
Learner126,"['quiz', 'additional reading material', 'commentary']","['self-assesment', 'commentary', 'additional reading material']","['commentary', 'additional reading material', 'exmaple']","['exmaple', 'commentary', 'videos']","['self-assesment', 'additional reading material', 'real life application']"
Learner127,"['videos', 'self-assesment', 'additional reading material']","['real life application', 'quiz', 'additional reading material']","['additional reading material', 'commentary', 'quiz']","['real life application', 'commentary', 'quiz']","['commentary', 'self-assesment', 'real life application']"
Learner128,"['self-assesment', 'commentary', 'videos']","['additional reading material', 'quiz', 'videos']","['self-assesment', 'videos', 'commentary']","['exmaple', 'videos', 'additional reading material']","['real life application', 'additional reading material', 'quiz']"
Learner129,"['self-assesment', 'videos', 'commentary']","['additional reading material', 'self-assesment', 'quiz']","['real life application', 'exmaple', 'self-assesment']","['videos', 'commentary', 'self-assesment']","['self-assesment', 'real life application', 'quiz']"
Learner130,"['videos', 'commentary', 'additional reading material']","['additional reading material', 'commentary', 'exmaple']","['exmaple', 'self-assesment', 'commentary']","['quiz', 'additional reading material', 'exmaple']","['commentary', 'videos', 'self-assesment']"
Learner131,"['quiz', 'videos', 'commentary']","['exmaple', 'quiz', 'videos']","['exmaple', 'quiz', 'commentary']","['commentary', 'quiz', 'self-assesment']","['exmaple', 'additional reading material', 'real life application']"
